City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
146,tual,-5.6667,132.75,27.05,81,100,8.62,ID,1675789644
147,frontino,6.7801,-76.1288,26.36,53,36,1.59,CO,1675789855
148,port elizabeth,-33.918,25.5701,24.16,88,40,6.17,ZA,1675789308
149,charters towers,-20.1,146.2667,23.55,89,71,2.79,AU,1675789855
150,yumen,40.2833,97.2,-2.43,51,100,1.53,CN,1675789647
151,vardo,70.3705,31.1107,1.99,75,0,19.03,NO,1675789440
152,saldanha,-33.0117,17.9442,24.03,88,100,10.68,ZA,1675789596
153,uthal,25.8072,66.6219,21.2,52,0,2.17,PK,1675789856
154,mareeba,-17.0,145.4333,24.4,90,100,1.11,AU,1675789856
155,qaanaaq,77.484,-69.3632,-30.22,69,98,3.13,GL,1675789436
156,tarrafal,15.2833,-23.7667,23.44,63,4,9.78,CV,1675789857
157,pevek,69.7008,170.3133,-31.11,98,100,1.15,RU,1675789559
158,ikot ekpene,5.1794,7.7108,31.76,51,48,5.56,NG,1675789857
159,calama,-22.4667,-68.9333,23.01,37,78,6.9,CL,1675789765
160,spornoye,50.8448,37.2913,-9.78,92,13,4.95,RU,1675789858
161,saskylakh,71.9167,114.0833,-35.02,100,100,1.01,RU,1675789482
162,mengyin,35.7069,117.9264,5.21,74,99,1.08,CN,1675789858
163,sterling,39.0062,-77.4286,8.22,63,75,4.63,US,1675789859
164,guerrero negro,27.9769,-114.0611,17.0,28,6,3.42,MX,1675789761
165,coalinga,36.1397,-120.3602,2.14,66,2,1.17,US,1675789859
166,sola,-13.8833,167.55,27.81,74,96,5.39,VU,1675789660
167,vao,-22.6667,167.4833,25.99,70,81,5.06,NC,1675789439
168,shitanjing,39.2342,106.3439,-2.44,47,43,3.33,CN,1675789860
169,kahului,20.8947,-156.47,23.8,85,20,4.47,US,1675789714
170,temir,49.1414,57.13,-13.2,90,100,5.85,KZ,1675789861
